id_venda,cliente,produto,data_venda,preco,quantidade
1,Mark Mills,Monitor,2022-06-09,587.54,1
2,Richard Turner,Roteador,2022-10-22,296.46,5
3,Michelle Robinson DVM,Mouse,2021-01-27,163.91,2
4,Jackson Williams,Mouse,2020-06-11,90.09,4
5,Beverly Hanson,Roteador,2023-02-14,385.49,1
6,Jennifer Jones,Monitor,2022-09-15,992.26,1
7,Jay Weiss,Impressora,2022-12-28,386.58,2
8,Heidi Shannon,Monitor,2023-09-06,1515.27,4
9,Mary Guerrero,Monitor,2022-02-06,1805.43,1
10,Deborah Hanson,Fone de Ouvido,2022-12-07,169.27,5
11,Julia Fowler,Roteador,2022-10-01,489.54,4
12,Wendy Baird,Laptop,2021-02-02,2461.62,5
13,Paul Williams,Mouse,2020-07-28,181.54,2
14,Tina Eaton,Roteador,2023-09-23,599.97,5
15,Brooke Sanders,Fone de Ouvido,2020-10-28,52.56,1
16,Nathan Young,Impressora,2023-06-29,1057.35,3
17,Christina Barr,Câmera,2020-03-14,1728.87,4
18,Melissa Patel,Fone de Ouvido,2021-08-30,276.85,4
19,Briana Rojas,Monitor,2022-05-07,652.32,5
20,Angel Oneal,Impressora,2020-09-08,701.23,3
21,Leonard Gonzales,Câmera,2022-05-27,1462.63,4
22,Samuel Thompson,Laptop,2023-01-23,1560.48,1
23,Justin Reyes,Impressora,2023-03-10,594.93,5
24,Kevin Edwards,Teclado,2021-03-03,376.05,4
25,Kenneth Whitaker,Monitor,2022-09-16,676.64,4
26,Margaret Adkins,Teclado,2021-02-24,103.51,1
27,Kevin Hicks,Impressora,2022-11-09,888.78,5
28,Tammy Simmons,Laptop,2021-10-21,3377.19,5
29,Brady Hahn,Celular,2022-01-19,1283.89,3
30,Sheryl Smith,Fone de Ouvido,2022-04-15,90.47,4
31,Ashley Garcia,Laptop,2023-05-07,1993.67,3
32,Sydney Fischer MD,Fone de Ouvido,2022-03-22,234.34,5
33,Charles Hernandez,Câmera,2020-05-17,4700.08,4
34,Carol Rodriguez,Roteador,2021-05-02,194.84,1
35,Melissa Rice,Tablet,2021-08-23,1868.45,2
36,Javier Anderson,Monitor,2021-06-05,1942.3,5
37,Mr. Randall Stephens,Mouse,2020-01-02,75.49,4
38,Michael Harris,Fone de Ouvido,2023-05-24,260.38,5
39,Richard Le,Fone de Ouvido,2022-05-06,224.59,2
40,Yesenia Yoder,Laptop,2021-10-28,1648.93,1
41,Thomas Kelly,Laptop,2023-07-18,3284.56,4
42,Vincent Diaz,Câmera,2021-02-19,3245.19,2
43,Danny Barnes,Fone de Ouvido,2021-08-29,148.19,2
44,Christopher Harmon,Impressora,2022-01-08,1058.67,4
45,Leslie Moore,Monitor,2022-10-21,1414.86,4
46,Amy French,Câmera,2020-04-08,2795.56,1
47,Katherine Smith,Celular,2020-09-06,1084.32,5
48,Tyler Murphy,Impressora,2020-02-07,318.37,2
49,Marissa Rivas,Laptop,2022-04-25,1820.94,4
50,Darrell Mann,Laptop,2022-10-10,2910.26,2
51,Kenneth Harris,Tablet,2022-10-01,1371.66,5
52,Carol Howe,Roteador,2021-04-14,170.44,3
53,Tara Le,Monitor,2022-11-10,1821.87,4
54,Mrs. Sherri Jacobs,Teclado,2021-07-03,275.95,5
55,Michael Dorsey,Tablet,2020-10-31,1750.45,3
56,Jim Deleon,Laptop,2023-07-09,1639.0,4
57,Kyle Reed,Celular,2022-11-12,2195.98,3
58,Andrew Vasquez,Roteador,2023-09-16,529.66,5
59,Amanda Garza,Monitor,2020-08-27,1914.9,3
60,Christopher Bailey,Celular,2021-06-12,1183.33,1
61,Jennifer Nguyen,Laptop,2021-03-22,2776.69,3
62,Keith Gilbert,Celular,2021-09-30,1594.02,5
63,Taylor Davila,Impressora,2021-11-23,1087.57,3
64,Timothy Hale,Laptop,2023-06-15,3391.96,2
65,Raymond Vargas,Roteador,2021-11-01,132.69,3
66,Ronald Walker,Laptop,2022-11-09,2089.69,2
67,Patricia Mercado,Laptop,2020-03-23,1977.96,1
68,Sierra Pittman,Impressora,2023-03-26,388.46,1
69,Jesse Smith,Fone de Ouvido,2020-01-17,188.36,1
70,Kathy Ashley,Laptop,2020-12-15,3915.75,3
71,Katherine Allen,Impressora,2020-04-07,773.17,3
72,Shawn Norris,Teclado,2020-04-10,115.63,1
73,James Alexander,Celular,2020-11-24,1929.61,2
74,Andrea Rosario,Monitor,2023-01-29,1001.62,1
75,Clayton Harvey,Laptop,2023-08-01,1683.53,4
76,Tiffany Benton,Teclado,2022-10-28,207.67,2
77,Kristin Hays,Roteador,2023-07-18,405.33,2
78,Sheri Brennan,Tablet,2023-08-15,672.33,3
79,Sara Wilkins,Teclado,2022-11-07,103.08,3
80,Ronald Lawrence,Celular,2021-10-20,1221.96,2
81,Charles Mays,Monitor,2022-09-06,1929.55,5
82,Dana Ryan,Tablet,2021-04-25,816.08,3
83,William Martinez,Impressora,2020-01-07,1192.69,1
84,Kelli Lin,Câmera,2023-09-24,1858.34,3
85,Susan Rodriguez MD,Câmera,2020-05-29,4670.18,4
86,Jamie Bush,Celular,2022-03-02,1239.92,4
87,Mary Moore,Câmera,2021-10-18,3655.82,4
88,Lance Fernandez,Teclado,2023-06-22,348.06,2
89,Alan Acosta,Roteador,2020-06-15,247.07,5
90,Steven Smith,Laptop,2022-01-03,2861.26,2
91,Mindy Carr,Teclado,2021-11-07,236.06,2
92,Elizabeth Dudley,Mouse,2023-12-12,158.16,4
93,Jeffery Simpson,Teclado,2020-02-03,356.02,4
94,Gina Rhodes,Tablet,2022-03-10,1954.36,2
95,Jessica Lee,Mouse,2023-12-30,182.14,5
96,Brandon Bennett,Celular,2023-12-24,1456.19,5
97,Shawn Smith,Laptop,2021-05-12,3577.76,5
98,Richard Espinoza,Roteador,2021-12-25,251.37,4
99,April Norton,Laptop,2020-09-07,2431.05,5
100,Bradley Hopkins,Fone de Ouvido,2022-12-27,212.97,3
101,Jeremy Richardson,Celular,2021-01-16,895.6,3
102,Becky Garcia,Teclado,2023-07-31,154.57,5
103,Marc Harrell,Câmera,2021-01-21,3814.86,5
104,Laura Ewing,Câmera,2020-06-03,2477.42,4
105,Jessica Lee,Mouse,2023-08-23,159.81,1
106,Steven Nelson,Teclado,2022-06-22,196.98,4
107,Lauren Maxwell,Impressora,2020-03-29,652.82,5
108,Heather Hess,Câmera,2020-03-14,1188.42,4
